45_68_44_ 45_73_44
39_23_10_42_4_6_15_69_20_ 39_23_10_42_4_6_15_73_46
18_59_ 18_64
69_ 73
34_62_11_ 34_62_11
69_ 73
39_61_34_ 107_61_34
10_75_8_11_50_49_26_ 10_107_8_11_50_49_26
14_69_57_ 14_73_57
74_35_40_45_ 105_35_40_45
76_45_4_ 111_45_4
30_43_54_71_55_ 30_43_54_75_55
46_62_13_ 46_62_13
58_30_78_6_ 58_30_117_6
37_14_72_1_ 37_14_70_1
42_36_76_54_22_ 42_36_111_54_22
81_ 70
33_17_80_13_39_61_ 59_17_134_13_39_61
42_50_75_17_5_ 42_50_107_17_5
27_1_80_ 27_134
74_64_53_37_36_8_66_5_4_25_49_ 33_53_37_36_8_111_5_4_51_49
76_ 111
12_18_41_72_9_59_ 12_18_41_76_26_59
4_58_61_75_28_45_25_55_22_ 4_58_61_107_54_45_51_55_22
29_79_ 29_118
26_31_68_29_ 26_31_73_29
1_68_55_76_7_ 46_55_111_7
76_32_12_56_40_ 111_32_12_56_40
46_ 46
74_35_76_16_3_74_10_25_39_23_ 35_111_16_3_38_10_25_39_23
15_25_70_17_ 15_25_74_17
71_ 75
39_10_70_12_ 39_10_74_38
10_32_19_58_66_21_25_43_61_ 12_32_19_58_70_1_25_43_35
55_38_1_68_13_45_58_ 55_38_21_73_13_45_58
25_ 25_63
39_44_64_24_ 39_44_64_0
6_66_32_ 6_70_58
57_9_78_11_20_58_ 57_26_117_11_46_58
40_55_6_70_31_33_ 40_55_6_74_31_33
18_66_4_ 18_70_4
52_64_32_32_79_26_13_21_ 52_33_58_32_118_26_13_47
30_24_65_20_ 30_0_65_20
26_55_66_11_33_ 26_55_70_11_33
22_70_10_56_27_41_ 22_74_10_56_27_41
15_19_80_61_54_ 15_19_134_61_54
8_76_ 8_111
22_39_ 22_39
17_55_70_37_10_0_21_ 17_55_74_37_10_50_21
8_65_60_ 8_65_60
23_7_51_73_2_ 23_7_51_95_61
36_18_9_39_33_57_22_78_11_13_ 36_18_9_0_33_31_22_117_11_13
67_52_1_16_12_ 107_52_1_16_12
70_14_25_15_ 74_14_25_15
50_78_48_ 24_117_48
16_ 111_16
3_0_73_61_ 3_0_95_61
71_ 75
78_ 117
55_73_ 55_95
0_ 76_24
3_0_74_61_ 3_0_105_61
65_ 65
19_79_52_ 19_118_52
73_17_55_8_51_2_ 95_17_55_8_51_2
31_11_62_2_30_ 57_11_62_2_56
8_19_80_1_39_ 8_19_134_39
70_31_ 74_31
28_76_22_ 54_111_22
41_74_64_51_ 41_12_64_51
69_ 73
47_34_58_ 73_34_32
46_66_53_42_ 46_70_53_42
54_46_39_78_48_28_24_ 54_46_39_117_22_28_24
60_67_16_ 60_107_16
30_58_77_79_56_18_33_ 30_58_0_118_56_18_33
42_72_27_ 42_76_27
28_78_31_44_8_78_28_40_26_ 54_39_31_44_8_117_28_40_26
71_ 75
58_29_17_55_71_15_14_39_77_30_ 58_29_17_55_75_15_14_39_24_30
76_10_50_41_60_56_2_1_8_ 111_26_50_41_60_56_2_1_8
59_30_76_5_4_ 59_30_111_5_4
16_35_32_69_15_55_3_ 16_35_32_73_15_55_3
59_ 64
43_61_70_50_64_ 43_61_74_50_33
69_ 73
6_79_78_6_38_ 11_46_117_12
1_80_ 134
76_ 111
13_5_63_45_46_8_ 13_5_63_45_20_8
71_ 75
1_60_64_8_7_ 1_60_64_8_7
79_ 118
38_75_ 12_107
53_72_19_0_ 53_76_19_50
76_ 111
75_ 107
72_ 76
44_16_64_23_ 44_16_64_23
52_51_33_ 52_51_33
13_63_31_11_20_23_41_ 13_63_31_11_46_23_41
74_23_31_ 105_23_57
31_26_74_40_65_34_36_49_5_53_ 31_26_12_40_65_34_36_49_5_53
22_33_ 22_64
9_5_49_79_37_28_ 9_5_49_118_37_54
35_68_5_0_ 35_73_5_0
76_ 111
27_36_73_53_ 27_36_95_53
79_51_7_44_2_13_ 118_25_7_44_35_13
14_70_57_ 14_74_57
70_ 74
65_ 65
65_42_11_22_ 65_42_11_22
59_ 64
64_52_1_16_12_ 64_52_1_16_12
34_64_31_14_59_23_39_40_ 34_64_31_14_59_23_24_40
74_53_43_51_77_64_23_15_8_33_ 53_43_51_50_64_23_15_8_34
16_6_62_15_22_ 16_6_62_15_22
31_64_4_ 31_64_4
70_55_ 74_55
28_38_ 54_73
19_75_0_ 19_107_0
28_30_23_62_27_44_46_9_ 28_30_23_62_27_44_20_9
1_65_ 21_65
78_ 117
78_ 117
59_71_44_ 59_75_44
34_76_ 34_111
12_21_28_32_58_ 12_21_70_32_58
8_22_76_54_ 8_22_111_28
69_ 73
17_80_1_ 17_134
31_65_40_ 31_65_40
74_20_ 105_46
28_50_80_11_ 28_39_134_11
14_23_6_69_42_51_2_ 14_23_6_73_42_25_61
31_21_63_15_ 31_1_63_15
80_35_27_64_20_ 134_61_27_33_20
76_63_ 111
16_79_ 16_118
16_43_71_0_ 16_43_75_24
45_79_44_ 45_118_44
72_ 76
57_50_62_30_ 31_24_62_56
62_23_57_ 62_23_57
12_52_77_78_17_12_ 12_52_24_117_17_38
6_30_32_33_43_79_1_77_17_ 6_30_32_33_43_118_1_24_17
25_21_4_22_52_10_76_23_ 25_21_4_22_52_10_111_23
7_57_55_26_1_72_47_50_ 7_57_55_26_1_76_46_0
33_12_7_ 33_105_7
31_79_ 57_118
28_40_10_41_62_52_77_20_33_ 54_40_10_41_62_52_0_20_33
62_16_2_37_ 62_16_2_37
5_53_73_61_33_ 5_53_95_35_33
2_35_35_69_14_28_ 2_61_35_73_14_54
76_60_5_ 111_60_5
41_47_ 41_73
24_17_79_57_ 24_17_118_57
65_ 65
1_47_ 1_73
23_2_20_46_45_15_35_12_2_52_ 95_21_20_46_45_15_61_12_2_52
80_34_23_ 134_34_23
18_19_71_7_54_ 18_19_75_7_54
51_64_80_77_36_70_6_60_20_3_ 51_33_1_24_36_74_6_60_20_3
28_11_15_49_69_29_38_ 54_11_15_49_73_29_12
14_80_4_ 14_134_4
37_23_ 37_70
1_ 70
71_ 75
79_34_ 118_34
17_35_ 17_35
12_69_54_ 12_73_54
21_52_63_30_ 21_52_70_30
43_78_ 43_117
56_16_31_55_78_78_77_43_ 56_16_31_55_117_43
27_ 27_63
20_76_13_ 46_111_13
2_ 2
78_ 117
30_38_ 17_105
11_49_72_53_ 11_49_76_53
10_75_ 10_107
34_80_2_43_23_ 34_134_31_43_23
50_ 50
20_25_35_64_27_22_54_ 46_25_35_64_27_22_54
17_11_60_76_41_51_ 17_11_60_111_41_51
39_23_74_1_ 39_23_105_1
59_ 64
80_ 134
31_12_ 31_105
15_30_74_41_74_49_ 15_30_38_41_105_49
57_29_80_64_39_ 57_29_134_33_39
24_12_6_21_78_17_ 0_38_6_21_117_17
72_ 76
43_56_64_16_ 43_56_64_16
65_58_16_55_ 65_58_16_55
11_50_73_52_46_62_42_8_ 11_50_95_52_20_15_42_8
33_75_ 59_107
51_47_64_13_31_ 25_47_64_13_31
1_18_60_65_15_74_ 1_18_60_65_15_21
1_35_72_53_ 1_35_76_53
47_33_63_22_6_ 47_33_70_22_6
8_5_69_57_7_ 8_5_73_57_7
21_10_23_64_39_36_ 21_10_23_64_39_36
32_64_46_ 58_64_46
10_68_ 10_105
57_63_ 57_63
6_73_19_ 6_95_19
33_65_20_56_57_ 33_65_20_56_57
2_8_71_29_ 2_8_75_29
3_40_79_24_ 3_40_118_50
34_12_80_15_ 34_38_134_15
4_20_73_51_11_48_57_54_ 4_20_95_51_11_48_31_54
11_ 11
42_74_52_74_43_ 42_52_105_43
37_46_45_76_7_58_34_ 37_46_45_111_7_58_34
76_ 111
20_10_68_24_ 20_10_73_50
74_49_52_77_20_70_55_6_48_42_ 49_52_50_46_74_55_6_48_42
81_ 70
28_31_78_10_12_ 54_57_117_10_47
81_ 63
53_80_ 53_134
53_76_54_25_40_ 53_111_54_25_40
35_69_58_46_7_23_2_43_ 35_73_58_20_7_30_61_43
52_40_76_54_ 52_40_111_54
47_64_2_ 47_64_35
78_ 117
52_72_ 52_76
5_37_62_42_ 5_37_62_42
43_8_11_77_57_77_10_ 43_8_11_117_10
20_53_40_80_55_32_ 20_53_40_134_55_32
24_72_7_ 0_76_7
4_2_60_66_43_45_8_ 4_2_60_70_43_45_8
22_4_ 22_4
42_73_ 38_95
79_ 118
34_29_74_42_2_72_56_46_33_38_ 34_29_47_42_61_76_56_46_33_38
24_70_ 24_74
23_50_37_74_63_53_46_5_9_ 23_50_37_21_63_53_46_5_9
8_72_23_ 8_76_23
72_29_7_2_10_ 76_29_7_2_10
36_8_77_78_60_ 36_8_117_60
1_80_ 134
57_62_58_ 31_62_58
73_ 70
43_49_71_55_36_ 43_49_75_55_36
2_80_18_ 2_134_18
32_76_ 32_111
56_8_26_43_72_48_64_49_ 56_8_26_43_76_48_33_49
34_64_64_58_ 34_33_64_58
27_77_ 27_70
47_ 73
31_70_ 57_74
40_ 40
45_26_62_25_14_ 45_26_62_25_14
6_70_ 6_74
72_ 76
34_70_ 34_74
72_54_ 76_54
43_8_47_37_66_23_28_22_ 43_8_47_37_70_23_28_22
15_65_64_7_6_9_5_49_60_ 15_65_59_7_6_9_5_49_60
30_73_ 30_95
63_44_27_25_9_ 70_44_27_25_9
55_13_15_79_26_74_52_ 55_13_15_47_26_105_52
75_ 107
67_22_64_36_ 107_22_33_36
45_1_28_70_27_54_ 45_1_28_74_27_54
51_ 51
60_13_76_55_ 60_13_70_55
74_45_59_63_60_58_14_ 38_45_59_63_60_58_14
21_79_8_4_19_ 21_118_27_4_19
25_36_69_22_ 25_36_73_22
75_14_44_ 107_14_44
52_60_58_7_66_12_2_ 52_60_58_7_70_12_35
23_70_ 23_74
2_32_70_36_46_44_34_ 2_58_74_36_20_44_34
10_1_65_24_11_25_ 10_1_65_24_11_51
29_63_58_ 29_70_58
55_71_20_ 55_75_46
6_25_42_76_31_21_ 6_25_42_111_31_21
45_69_5_33_ 45_73_5_59
24_62_16_ 24_62_16
43_6_53_1_71_54_ 43_6_53_21_75_54
49_32_80_61_ 49_32_134_61
14_73_ 14_95
38_72_ 38_76
52_51_72_33_2_ 52_51_76_33_2
31_22_16_11_77_30_39_12_26_ 31_22_16_11_70_30_39_12_26
33_55_63_1_0_ 33_55_63_1_0
48_63_57_ 48_70_31
31_76_ 57_111
51_72_ 51_76
74_36_51_65_40_64_44_2_41_61_ 36_51_65_40_59_44_35_41_61
39_ 39_70
51_69_ 51_73
8_71_32_ 8_75_58
80_ 134
57_34_72_27_60_ 57_34_76_27_60
2_ 2_70
38_65_ 38_65
74_80_1_ 134
19_78_ 19_117
29_62_77_ 29_62_24
26_2_61_16_20_79_54_ 26_2_61_16_20_118_54
1_62_ 7_62
25_13_68_4_ 25_13_73_4
60_73_55_ 60_95_55
3_0_63_64_31_9_ 3_24_63_33_31_9
16_32_3_28_64_74_34_42_15_77_ 16_32_3_28_59_105_34_42_15_0
21_34_37_55_66_60_ 21_34_37_55_70_60
54_73_58_60_ 54_95_58_60
16_23_2_52_17_41_73_2_ 16_23_2_52_17_41_95_35
13_62_45_58_56_27_ 13_62_19_58_56_27
18_78_ 18_117
2_40_12_54_62_55_37_6_22_ 35_40_38_54_62_55_37_6_22
73_52_ 95_52
1_26_77_54_ 1_26_70_28
1_61_55_0_78_8_29_ 1_61_55_24_117_8_29
3_2_2_65_36_29_ 3_44_2_65_36_29
5_79_28_ 5_118_54
45_32_14_66_0_59_ 45_32_14_70_0_59
16_57_73_56_ 16_31_95_56
12_ 38
7_59_1_ 7_64_1
66_1_29_11_12_58_47_45_ 111_1_21_11_38_58_47_45
8_1_ 8_105
6_61_2_16_31_51_62_28_29_ 6_61_2_16_31_51_62_28_29
17_1_73_52_23_59_29_ 17_1_95_52_23_59_29
34_62_57_ 34_62_31
72_54_0_ 76_28_24
43_73_35_ 43_23_95_35
37_30_ 37_105
33_46_75_61_3_ 33_20_107_35_3
43_70_ 43_74
43_79_41_ 43_118_41
 63
17_46_76_44_59_ 17_46_111_44_59
0_62_ 50_62
57_47_28_36_76_45_18_ 31_47_28_36_111_45_18
71_45_ 75_45
72_33_7_56_36_47_ 76_33_7_56_36_21
65_ 65
77_78_3_55_32_2_49_12_26_ 117_3_55_32_2_49_12_26
30_75_28_ 30_107_28
74_31_23_61_62_12_20_48_ 21_31_23_61_62_12_46_48
65_5_53_2_59_ 65_5_53_35_33
40_73_ 40_95
72_ 76
81_ 63
2_72_28_12_60_49_5_ 2_76_28_12_60_49_5
 63
55_ 70
7_ 7_105
62_64_14_36_77_16_ 62_33_14_36_24_16
48_12_28_79_41_51_2_ 48_12_54_118_41_51_2
32_ 32_111
3_30_74_54_ 3_30_105_54
47_48_25_1_2_0_65_2_31_17_ 47_48_25_1_2_50_65_35_31_17
14_26_5_76_37_ 14_26_5_111_37
49_30_62_38_ 49_30_62_38
73_ 95
1_ 70
13_79_ 13_118
40_78_ 40_117
78_59_56_26_74_10_53_ 117_59_56_26_1_10_53
42_72_ 42_76
52_76_37_45_14_ 52_111_37_45_14
28_30_56_62_7_44_11_ 5_30_56_62_7_44_11
18_65_50_2_5_ 18_65_24_2_5
49_78_33_ 49_117_33
59_ 64
49_19_69_2_45_ 49_19_73_2_45
62_45_2_40_20_15_ 62_45_2_40_20_15
52_70_10_ 52_74_9
21_ 70
18_63_34_13_14_42_ 70_34_13_14_42
62_ 62
40_20_73_49_ 40_20_95_49
9_80_11_ 9_134_11
40_ 40
47_1_80_1_ 47_134
15_74_50_61_20_64_56_50_10_ 15_105_24_61_20_33_56_0_10
20_80_29_ 20_134_29
34_35_29_ 34_35_29
7_9_40_ 107_9_40
26_47_10_60_45_28_ 26_47_10_60_107_28
46_64_25_ 46_64_51
36_29_30_73_23_7_0_ 36_29_30_95_23_7_50
2_59_60_73_36_26_44_ 2_59_60_95_36_26_44
21_65_37_23_26_24_ 21_65_37_23_26_0
1_80_1_22_ 134_22
53_78_ 53_117
59_ 64
18_75_32_ 18_107_32
25_31_39_30_ 51_31_39_30
60_13_63_55_ 60_13_70_55
56_0_65_58_46_37_25_23_8_ 56_24_65_58_20_37_25_23_8
13_78_43_ 13_117_43
3_45_5_9_33_71_39_ 3_45_5_9_33_75_39
59_ 64
57_71_22_17_25_62_33_42_ 31_75_22_17_51_15_59_42
34_78_80_47_42_61_56_20_64_38_ 34_29_134_47_42_61_56_46_33_38
73_ 95
74_6_37_64_44_52_16_35_ 38_6_37_64_44_52_16_35
17_60_38_69_34_9_7_43_61_ 17_60_38_73_34_26_7_43_61
41_11_20_66_12_44_ 41_11_46_70_12_44
75_ 107
2_73_ 35_95
71_ 75
4_20_39_12_63_26_54_16_ 4_46_39_12_63_26_54_16
13_60_20_76_54_14_ 13_60_46_111_54_14
12_79_37_ 12_118_37
59_ 64
6_76_ 6_111
53_12_ 53_73
65_ 65
63_51_25_27_8_ 63_51_25_27_8
74_ 105
60_63_ 60_63
6_72_53_ 6_76_53
59_80_20_ 59_134_20
38_2_76_0_23_ 12_35_111_50_23
1_2_2_47_68_25_7_42_ 18_35_2_47_73_25_7_42
22_79_47_45_ 22_118_47_45
28_44_64_33_ 28_44_64_59
6_29_13_69_34_17_60_20_ 6_29_13_73_34_17_60_20
11_54_51_76_9_15_ 11_54_25_111_9_15
28_71_51_ 54_75_51
23_54_76_20_33_ 17_28_111_20_59
44_15_78_6_22_ 44_15_117_6_22
22_28_62_27_13_ 22_28_62_27_13
21_70_ 21_74
14_46_47_72_60_52_ 14_46_47_76_60_52
3_4_66_9_54_ 3_4_70_9_54
17_44_47_76_7_5_34_43_ 17_1_47_111_7_5_34_43
38_54_ 38_28
51_6_78_50_ 51_6_117_50
74_ 105
20_53_40_80_55_32_ 20_53_40_134_55_32
59_2_48_66_8_1_ 59_2_48_70_8_21
14_80_1_ 14_134
80_52_77_40_34_10_53_17_8_32_ 134_52_24_40_34_10_53_17_8_32
43_41_76_2_54_18_21_ 43_41_111_14_54_18_47
12_34_32_63_8_58_ 38_34_32_70_8_58
44_69_ 44_73
9_70_ 26_74
75_ 107
0_43_63_22_ 50_63_22
24_65_47_ 24_65_47
65_51_47_2_11_48_ 65_51_47_2_11_48
31_6_45_78_3_ 31_6_45_117_3
2_47_26_ 2_73_26
46_55_80_10_24_30_30_ 46_55_134_10_24_56_30
53_42_60_ 53_42_60
25_70_48_39_64_28_ 25_74_48_39_33_28
28_49_26_79_23_33_ 28_49_26_118_23_59
14_64_36_ 14_64_36
52_44_66_42_23_6_16_57_51_ 52_1_70_42_23_6_16_31_25
70_ 74
20_27_57_76_50_13_ 46_27_57_111_0_13
28_78_2_23_32_62_34_13_ 28_117_2_23_32_29_34_13
32_74_29_75_ 58_105_29_7
47_55_7_80_52_ 47_55_7_134_52
70_ 74
53_70_48_50_ 53_74_48_50
48_ 48
39_15_4_70_22_59_ 39_15_4_74_22_59
41_12_6_13_51_ 41_12_6_13_51
18_34_77_17_ 18_117_17
29_47_3_26_38_7_75_25_52_ 29_47_3_26_38_7_107_25_52
0_70_ 50_74
56_60_57_50_70_40_ 56_60_57_50_74_40
31_18_18_6_ 70_18_6
59_ 64
58_ 58
75_ 107
45_79_7_ 45_118_7
2_47_5_64_2_18_73_13_34_40_ 61_47_5_33_35_19_95_13_34_40
16_7_1_69_31_21_23_ 16_7_44_73_31_21_23
58_4_54_7_24_62_1_ 58_4_54_7_24_62_1
59_75_ 59_107
53_74_41_32_52_10_43_54_7_ 53_105_41_32_52_10_43_54_7
20_55_56_13_78_25_11_22_ 20_55_56_13_117_51_11_22
81_ 70
34_ 70
49_50_73_61_35_ 49_24_95_61_35
76_ 111
3_0_68_59_31_9_ 3_24_73_33_31_9
62_17_1_45_ 62_17_1_45
10_27_72_57_8_ 10_27_76_31_8
62_ 62
14_71_ 14_75
75_ 107
64_43_80_39_4_52_25_1_ 59_43_134_39_4_52_25_21
14_32_63_60_23_25_ 14_32_63_60_23_51
1_80_80_12_ 21_134_38
71_ 75
79_ 118
8_28_23_63_49_51_ 8_54_23_70_49_25
69_ 73
5_32_68_10_ 5_32_73_10
62_ 62
81_ 70
14_80_4_ 14_134_4
14_7_29_20_2_63_6_16_50_37_ 14_7_29_20_2_63_6_16_0_37
33_46_76_34_ 33_46_111_34
47_52_65_34_ 47_52_65_34
42_80_31_ 42_134_31
22_72_ 22_76
28_27_72_45_ 28_27_76_45
0_0_60_64_25_41_ 50_0_60_64_51_41
18_17_68_28_19_ 18_17_73_28_19
23_50_13_68_23_26_19_ 17_50_13_73_23_26_19
6_73_19_ 6_95_19
38_72_6_45_61_9_28_ 38_76_6_45_61_9_28
76_ 111
76_ 111
13_33_27_79_10_12_52_ 13_33_27_118_10_12_52
15_69_33_45_50_ 15_73_59_45_50
74_31_ 21_27
13_30_78_19_37_ 13_30_117_19_37
36_43_64_74_14_34_ 36_43_33_105_14_34
39_19_79_40_2_ 39_19_118_40_2
5_12_70_58_ 5_12_74_58
18_59_ 18_64
1_29_ 70_29
3_75_ 3_107
76_ 111
19_23_14_80_80_13_33_ 19_23_14_134_13_59
74_53_66_54_31_45_40_56_18_77_61_ 53_70_54_31_45_40_56_18_24_61
80_ 134
17_70_ 17_74
47_71_ 47_75
51_28_31_10_38_20_78_33_4_ 51_28_31_10_38_21_20_117_33_4
47_1_ 47_70
3_28_66_4_61_ 3_28_70_4_61
0_8_71_60_ 24_8_75_60
17_76_49_ 17_111_49
1_47_51_54_ 21_73_25_28
74_ 105
47_75_ 47_107
51_48_49_0_70_28_22_ 25_48_49_50_74_54_22
80_ 134
12_23_62_34_43_50_ 12_23_62_34_43_50
27_34_25_64_25_ 27_34_51_64_25
79_77_54_16_4_ 118_24_54_16_4
42_18_27_5_73_50_37_54_22_ 42_18_27_5_95_0_37_54_22
46_55_80_10_24_56_30_ 46_55_134_10_24_56_30
69_ 73
28_1_80_1_ 28_134
47_74_35_20_76_51_50_ 47_38_61_20_111_51_0
33_69_ 59_73
59_48_19_62_12_ 59_48_19_62_12
17_56_64_44_45_13_24_9_16_60_ 17_56_64_44_45_13_9_16_60
18_63_1_ 18_63_21
15_80_ 15_134
34_18_8_65_17_32_60_ 34_18_8_65_17_32_60
11_10_74_14_32_37_65_4_ 11_10_21_14_32_37_65_4
20_14_2_76_28_41_27_ 20_14_2_111_28_41_27
56_79_4_ 56_118_4
52_79_ 52_118
65_31_52_12_8_54_5_ 65_31_52_12_8_54_5
17_13_74_32_16_30_71_43_55_ 17_13_58_16_30_75_43_55
30_63_ 56_63
35_11_24_16_36_64_52_57_10_60_ 35_11_16_36_64_52_31_10_60
76_ 111
46_70_ 20_74
75_ 107
41_47_76_36_60_ 41_47_111_36_60
61_5_30_52_18_28_76_32_ 61_5_30_52_18_28_111_32
75_ 107
4_6_79_50_40_61_37_ 4_6_118_50_40_61_37
63_44_74_31_52_17_ 70_44_38_31_52_17
30_49_17_6_76_23_45_21_53_ 30_49_17_6_111_23_45_21_53
28_79_11_12_58_5_ 28_118_11_12_58_5
12_ 105
41_39_36_54_50_48_76_57_ 41_39_36_54_50_48_111_31
28_15_57_76_17_32_ 54_15_57_111_17_32
23_52_1_80_5_45_13_40_77_ 23_52_1_134_5_45_13_40_0
20_63_14_17_18_ 46_70_14_17_18
3_1_8_ 3_1_8
44_38_ 44_105
34_48_70_57_ 34_48_74_57
80_45_15_35_14_50_52_68_ 134_45_15_61_14_0_52_47
62_31_15_7_33_25_56_ 62_45_15_7_33_25_56
62_18_ 62_18
20_71_ 20_75
81_ 70
72_ 76
52_ 52
61_27_46_63_38_18_50_61_24_ 35_27_46_63_38_18_50_61_24
23_65_27_ 23_65_31
71_28_28_ 75_54_28
34_31_55_ 34_63_55
6_2_2_65_16_31_51_28_29_ 6_61_2_65_16_31_51_28_29
17_70_ 17_74
30_52_25_10_11_72_34_27_ 30_52_25_10_11_76_34_27
76_17_80_79_7_5_34_43_ 111_17_1_47_7_5_34_43
2_79_58_ 2_118_32
3_61_70_30_ 3_61_74_30
0_68_2_ 24_105_61
31_2_69_13_35_ 31_61_73_13_35
36_22_78_27_ 36_22_117_27
79_ 118
73_ 95
62_ 62
9_20_68_7_ 9_20_73_7
41_79_28_28_79_17_2_34_43_53_ 41_118_5_54_47_17_35_34_43_53
72_44_3_35_52_ 76_44_3_35_50
17_71_ 17_75
56_25_74_1_ 56_25_105_1
33_49_54_62_7_0_18_ 33_49_54_62_7_50_18
44_20_34_13_72_30_ 44_20_34_13_76_30
23_52_1_76_5_45_13_40_50_ 23_52_1_111_5_45_13_40_0
59_71_47_ 33_75_47
5_74_34_ 5_105_34
8_78_ 8_117
47_ 73
26_4_38_75_3_43_23_ 26_4_38_107_3_43_23
15_75_56_ 15_107_56
20_57_74_39_37_ 46_57_105_39_37
4_7_76_49_46_ 4_55_111_49_46
6_34_27_53_78_37_ 6_34_27_53_117_37
37_72_40_ 37_76_40
23_8_63_41_39_ 23_8_63_41_39
76_ 111
1_33_18_63_26_32_ 1_33_18_63_26_32
29_74_ 29_105
15_77_61_20_63_64_56_77_10_ 15_24_61_20_70_33_56_0_10
22_10_56_78_27_41_ 22_10_56_70_27_41
 63
8_29_3_31_30_44_70_9_55_ 29_3_31_30_45_47_74_9_55
71_48_1_52_ 75_48_21_52
71_ 75
3_2_47_65_12_22_58_ 3_2_47_65_12_22_58
32_64_29_ 32_64_29
52_33_58_32_26_13_63_1_ 52_33_58_32_26_13_70_47
32_21_67_45_ 32_1_107_45
1_78_41_ 1_117_41
74_73_10_42_8_13_46_36_3_56_ 95_10_42_8_13_59_36_3_56
23_75_17_12_36_ 23_107_17_12_36
22_39_72_47_ 22_39_76_47
53_75_54_25_40_ 53_107_54_25_40
62_ 62
42_12_37_62_6_25_ 42_12_37_62_6_25
44_76_1_19_ 44_111_21_19
31_73_5_ 31_95_5
67_53_ 107_53
27_72_20_ 27_76_20
